"Magic numbers: use defined constant","A numeric literal that matches the initializer of a constant variable was found. Consider using the constant variable instead of the numeric literal.","recommendation","Literal value '308' used instead of constant [[""max_exponent10""|""file:///usr/include/c++/8/limits:1704:41:1704:54""]].","/tests/hw1/test_dyarray.h","308","5","308","41"
"Rule of three","Classes that have an explicit destructor, copy constructor, or copy assignment operator may behave inconsistently if they do not have all three.","warning","Class defines a destructor, copy constructor, or copy assignment operator, but not all three.","/hw1/dyarray.h","14","7","14","18"
"Rule of three","Classes that have an explicit destructor, copy constructor, or copy assignment operator may behave inconsistently if they do not have all three.","warning","Class defines a destructor, copy constructor, or copy assignment operator, but not all three.","/tests/hw1/test_dyarray.h","57","7","57","13"
"Rule of three","Classes that have an explicit destructor, copy constructor, or copy assignment operator may behave inconsistently if they do not have all three.","warning","Class defines a destructor, copy constructor, or copy assignment operator, but not all three.","/tests/hw1/test_dyarray.h","37","7","37","14"
"Rule of three","Classes that have an explicit destructor, copy constructor, or copy assignment operator may behave inconsistently if they do not have all three.","warning","Class defines a destructor, copy constructor, or copy assignment operator, but not all three.","/tests/hw1/test_dyarray.h","6","7","6","21"
